source_dataset,source_ref,job_id,job_title,company_name,city,province,salary,education,experience,industry,major,company_size,company_type,publish_date,description,longitude,latitude,source_url
Kaggle China Jobs Data,polartech/china-jobs-data,141492884,库房（质量）员工,北京威尔卡自控阀门有限责任公司,北京,北京,3.5-7千,中技/中专,1年,仪器仪表/工业自动化,,少于50人,民营,2023-07-17 19:00:01,库房（质量）员工 仪器仪表/工业自动化 仪器仪表/工业自动化,116.192440,39.928654,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149725225,机械工程师(J10115),盛吉盛（宁波）半导体科技有限公司,上海,上海,2.5-5万·15薪,本科,5-7年,电子技术/半导体/集成电路,,150-500人,合资,2023-07-17 19:00:01,机械工程师(J10115) 电子技术/半导体/集成电路 电子技术/半导体/集成电路,121.637501,31.228619,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,141954478,销售代表,北京汇智天源电子工程技术有限公司,北京,北京,8千-1.5万,大专,1年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,销售代表 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,144208048,力学仿真工程师,沈阳三翼志航科技有限公司,北京,北京,2-4万,硕士,1年,机械/设备/重工,,少于50人,民营,2023-07-17 19:00:01,力学仿真工程师 机械/设备/重工,116.439272,39.962344,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,133127871,天然气研究所等技术业务经理,北京威尔卡自控阀门有限责任公司,北京,北京,5千-1万,大专,1年,仪器仪表/工业自动化,,少于50人,民营,2023-07-17 19:00:01,天然气研究所等技术业务经理 仪器仪表/工业自动化 仪器仪表/工业自动化,116.192440,39.928654,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149725305,直播 - 高级 Web 前端开发工程师,美团,北京,北京,3-4万,不限,3-4年,互联网/电子商务,,10000人以上,已上市,2023-07-17 19:00:01,直播 - 高级 Web 前端开发工程师 互联网/电子商务,116.494659,40.014736,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,141956936,空调工程师,北京汇智天源电子工程技术有限公司,北京,北京,8千-1.2万,大专,2年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,空调工程师 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,111521623,三维模型工程师,北京信普达系统工程有限公司,北京,北京,6千-1.2万,本科,1年,计算机软件,,150-500人,民营,2023-07-17 18:54:26,三维模型工程师 计算机软件 电气/电力/水利,116.317016,40.046744,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,131554512,仪器仪表类(商务英语）采购,北京威尔卡自控阀门有限责任公司,北京,北京,5-9.9千,本科,2年,仪器仪表/工业自动化,测控技术与仪器,少于50人,民营,2023-07-17 19:00:01,仪器仪表类(商务英语）采购 仪器仪表/工业自动化 仪器仪表/工业自动化 测控技术与仪器,116.192440,39.928654,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149552238,MEMS器件设计专家,苏州柏睿达测控设备有限公司,北京,北京,3-5万·15薪,本科,5-7年,仪器仪表/工业自动化,,1000-5000人,民营,2023-07-17 18:48:26,MEMS器件设计专家 仪器仪表/工业自动化 电子技术/半导体/集成电路,116.520365,39.782254,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,145090257,政府采购电商平台销售,北京汇智天源电子工程技术有限公司,北京,北京,6千-1.2万,中技/中专,3-4年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,政府采购电商平台销售 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,139959866,（高级）产品技术专员-血液透析,贝朗医疗(上海)国际贸易有限公司,北京,北京,20-30万/年,大专,3-4年,医疗设备/器械,,,外资（欧美）,2023-07-17 18:47:42,（高级）产品技术专员-血液透析 医疗设备/器械 医疗/护理/卫生,116.498388,39.979722,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,135600114,机械产品应用开发业务经理,北京威尔卡自控阀门有限责任公司,北京,北京,4-8千,大专,1年,仪器仪表/工业自动化,测控技术与仪器,少于50人,民营,2023-07-17 19:00:01,机械产品应用开发业务经理 仪器仪表/工业自动化 仪器仪表/工业自动化 测控技术与仪器,116.192440,39.928654,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149552252,MEMS工艺整合专家,苏州柏睿达测控设备有限公司,北京,北京,3-5万·15薪,本科,5-7年,仪器仪表/工业自动化,,1000-5000人,民营,2023-07-17 18:48:26,MEMS工艺整合专家 仪器仪表/工业自动化 电子技术/半导体/集成电路,116.520365,39.782254,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,141983479,销售工程师,北京汇智天源电子工程技术有限公司,北京,北京,7千-1万,大专,1年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,销售工程师 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,143990653,电话销售,北京宏通博智国际咨询有限公司,北京,北京,7千-1.4万,大专,1年,计算机软件,,,合资,2023-07-17 18:46:45,电话销售 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147351882,KA销售代表（底薪9k）,上海上嘉物流有限公司北京分公司,北京,北京,1.5-2万,大专,3-4年,多元化业务集团公司,,5000-10000人,合资,2023-07-17 18:43:17,KA销售代表（底薪9k） 多元化业务集团公司 多元化业务集团公司,116.501721,39.984545,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,146354435,QLED器件设计专家,苏州柏睿达测控设备有限公司,北京,北京,8-13万·15薪,硕士,10年以上,仪器仪表/工业自动化,,1000-5000人,民营,2023-07-17 18:48:26,QLED器件设计专家 仪器仪表/工业自动化 电子技术/半导体/集成电路,116.520365,39.782254,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,141953990,机房设备销售代表,北京汇智天源电子工程技术有限公司,北京,北京,6-9千,大专,2年,计算机软件,,少于50人,民营,2023-07-17 19:00:01,机房设备销售代表 计算机软件 互联网/电子商务,116.314518,39.972676,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,143990983,电话销售主管,北京宏通博智国际咨询有限公司,北京,北京,1-2万,大专,2年,计算机软件,,,合资,2023-07-17 18:46:41,电话销售主管 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147422969,生态合作销售经理,上海上嘉物流有限公司北京分公司,北京,北京,1.6-3万,本科,3-4年,多元化业务集团公司,,5000-10000人,合资,2023-07-17 18:43:13,生态合作销售经理 多元化业务集团公司 多元化业务集团公司,116.501721,39.984545,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149552222,MEMS技术专家,苏州柏睿达测控设备有限公司,北京,北京,5-8万·14薪,本科,10年以上,仪器仪表/工业自动化,,1000-5000人,民营,2023-07-17 18:48:26,MEMS技术专家 仪器仪表/工业自动化 电子技术/半导体/集成电路,116.520365,39.782254,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777284,运营中心负责人,美团,北京,北京,4-5万,不限,5-7年,互联网/电子商务,,10000人以上,已上市,2023-07-17 18:40:01,运营中心负责人 互联网/电子商务,116.495136,40.013054,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,144223426,专利工程师,北京宏通博智国际咨询有限公司,北京,北京,8千-1.6万,本科,1年,计算机软件,,,合资,2023-07-17 18:46:37,专利工程师 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,134898732,售后服务工程师,北京博钦科技有限公司,北京,北京,6-8千,大专,1年,机械/设备/重工,,少于50人,民营,2023-07-17 18:39:49,售后服务工程师 机械/设备/重工,116.348625,39.732555,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149776397,事业部副总裁,江苏为真生物医药技术股份有限公司,苏州,江苏,2.5-3.5万,大专,5-7年,制药/生物工程,,150-500人,民营,2023-07-17 18:38:51,事业部副总裁 制药/生物工程 制药/生物工程,120.779753,31.293369,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147019338,建筑工程师,北京宏通博智国际咨询有限公司,北京,北京,5-8千,本科,2年,计算机软件,,,合资,2023-07-17 18:46:33,建筑工程师 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,134898795,销售助理,北京博钦科技有限公司,北京,北京,5-8千,大专,1年,机械/设备/重工,,少于50人,民营,2023-07-17 18:39:46,销售助理 机械/设备/重工,116.489400,39.987881,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149775586,子公司总经理,江苏为真生物医药技术股份有限公司,北京,北京,2.5-3.5万,大专,10年以上,制药/生物工程,,150-500人,民营,2023-07-17 18:38:51,子公司总经理 制药/生物工程 制药/生物工程,116.214851,39.909168,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147019499,建造师,北京宏通博智国际咨询有限公司,北京,北京,5-8千,本科,3-4年,计算机软件,,,合资,2023-07-17 18:46:24,建造师 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,148848710,高薪+15薪急聘甲方室内设计师,山西铭基房地产开发有限公司,太原,山西,8千-1万·15薪,大专,3-4年,房地产,,150-500人,民营,2023-07-17 18:38:04,高薪+15薪急聘甲方室内设计师 房地产 房地产,112.561396,37.779909,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777275,板式家具技工,北京鲁匠木业有限公司,北京,北京,4.5-7.5千,初中及以下,1年,家具/家电/玩具/礼品,,少于50人,民营,2023-07-17 18:37:42,板式家具技工 家具/家电/玩具/礼品,0.000000,0.000000,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,148919776,省区经理（sH2a医院线）,江苏为真生物医药技术股份有限公司,北京,北京,6千-1.2万,大专,3-4年,制药/生物工程,,150-500人,民营,2023-07-17 18:38:51,省区经理（sH2a医院线） 制药/生物工程 制药/生物工程,116.413384,39.910925,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,147566569,电话销售专员,北京宏通博智国际咨询有限公司,北京,北京,5千-1万,大专,1年,计算机软件,,,合资,2023-07-17 18:46:17,电话销售专员 计算机软件 电子技术/半导体/集成电路,116.446827,39.912454,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,103029472,销售代表（高频手术电刀耗材）,西安外科医学科技有限公司,北京,北京,15-20万/年,大专,5-7年,医疗设备/器械,,150-500人,民营,2023-07-17 18:34:16,销售代表（高频手术电刀耗材） 医疗设备/器械 医疗/护理/卫生,116.413387,39.910924,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,148848643,高薪诚聘+甲方精装设计师,山西铭基房地产开发有限公司,太原,山西,8千-1万,大专,3-4年,房地产,,150-500人,民营,2023-07-17 18:38:04,高薪诚聘+甲方精装设计师 房地产 房地产,112.561396,37.779909,https://www.kaggle.com/datasets/polartech/china-jobs-data
